,,timestamp,tweet
38,jennablan,2020-18-01 21:29:59,"RT @charliebilello: For the first time ever there are 3 trillion-dollar companies in the US: Apple, Microsoft, and Google. 

At $924 billio…"
100,jennablan,2020-17-01 13:41:46,RT @ReformedBroker: Google is not a tech stock. It’s Communications Services. The index company said so.
113,jennablan,2020-17-01 12:38:57,"RT @carlquintanilla: Earnings next week:

UBS
IBM
Netflix
Capital One
United Air
Abbott
J&amp;J
Texas Inst.
Comcast
P&amp;G
Union Pacific
American…"
139,jennablan,2020-16-01 15:19:39,Amazon’s Bezos and his top lieutenants aimed for $1 billion in incentives on top of lures for HQ2 https://t.co/g2LmmNRp6j via @WSJ
154,jennablan,2020-16-01 13:19:54,RT @ABC7NY: Ben &amp; Jerry's unveils new binge-worthy flavor called 'Netflix &amp; Chilll'd' https://t.co/bFJc9USUU0 https://t.co/JpWt1S6lYG
163,jennablan,2020-16-01 01:33:30,RT @HayekAndKeynes: Apple &amp; Microsoft earnings in two weeks (28th/29th) will be some of the more important idiosyncratic data points for ma…
196,jennablan,2020-15-01 02:08:01,Trump criticizes Apple's encryption stance on Pensacola phones https://t.co/ZnSosJL1hQ
249,jennablan,2020-13-01 20:50:27,RT @Hipster_Trader: Apple since December 2009 https://t.co/65P5SrjIog
308,jennablan,11/1/2020,Amazon boss Bezos to face protests from traders during India trip https://t.co/dGLQFMNl6D
328,jennablan,10/1/2020,"RT @tpetruno: Stocks hitting new 52-wk highs today are a pretty diverse list — not just techs. A sampling:

Allstate $ALL
Apple $AAPL
BestB…"
333,jennablan,10/1/2020,"RT @michaelsantoli: Apple's massive ramp, entirely on expanding valuation, has taken its free-cashflow yield all the way down to...the exac…"
368,jennablan,10/1/2020,Facebook's Zuckerberg drops annual challenges to focus on longer-term goals https://t.co/RDgsnm4fAs
393,jennablan,9/1/2020,"Wall Street hits record high on trade optimism, FAANG rally https://t.co/o8laWXyGw5"
405,jennablan,9/1/2020,"RT @MarketCrumbs: On this day in 2007, Apple CEO Steve Jobs said “Today, Apple is going to reinvent the phone” as he introduces the iPhone…"
456,jennablan,8/1/2020,"RT @OpenOutcrier: $AAPL (+0.1% pre) Apple's news service reaches 100 million users, App Store sales expand - Reuters

https://t.co/VUqOXEw3…"
505,jennablan,7/1/2020,"RT @jacknicas: NEW: Sonos is suing Google.

The home-speaker maker says Google and Amazon stole its technology and abused their power to sq…"
535,jennablan,6/1/2020,Amazon to showcase its transportation drive at world's largest tech show https://t.co/bcagTDV8WN
586,jennablan,3/1/2020,"RT @bespokeinvest: The move higher for FAANG stocks over the past few months has sent their combined market cap near $4.0 trillion.  
Read…"
630,jennablan,1/1/2020,RT @amolrajan: @BBCRadio4 @HooperRJ @PaulMurphyX @BBCSounds @netflix @RobertIger @RonanFarrow @mega2e @jodikantor @GuidoFawkes 8/ When @lio…
671,jennablan,2019-30-12 02:47:38,@Hipster_Trader @netflix I have the outline in my head. I’m ready. 2020.
698,jennablan,2019-26-12 18:04:15,"RT @JonErlichman: Some of Shaq’s investments:

*Google (pre-IPO)
*Apple
*Twitter
*Uber
*Lyft
*Ring (Amazon bought for $1 billion)
*PepsiCo…"
710,jennablan,2019-25-12 17:45:10,@KASDad My uncle is still holding Apple shares
724,jennablan,2019-23-12 17:08:27,RT @michaelbatnick: Apple has gained more than half a trillion dollars in market cap this year. https://t.co/maLjoBhUwh
743,jennablan,2019-22-12 19:49:05,@KASDad My Uncle George talks about Apple at every Christmas party. Can’t wait to see if he’s selling some at these… https://t.co/RA7gACIf2P
755,jennablan,2019-22-12 04:49:37,RT @frankpallotta: Dave Chapelle joins in and says that half of Netflix’s budget is on stage for “SNL.” https://t.co/unKyKUxaGH
808,jennablan,2019-20-12 12:19:31,@NorthmanTrader Fun to Google search https://t.co/xylcWQezd1 + bubble burst case study
901,jennablan,2019-17-12 13:59:46,"RT @OpenOutcrier: $AAPL (+0.0% pre) Apple's (AAPL) China iPhone Sales Estimated to be Down 30% in November - Rosenblatt

https://t.co/bGH3W…"
903,jennablan,2019-17-12 13:39:01,"RT @FinancialTimes: The lawsuit against Apple, Google, Microsoft, Dell and Tesla is the first to target tech companies over sourcing of cob…"
915,jennablan,2019-17-12 03:15:52,"RT @ianbremmer: Market capitalization of major tech companies
 
Jan 1, 2010:
Amazon $60bn
Facebook $104bn (went public in May 2012)
Apple $…"
956,jennablan,2019-14-12 16:56:10,RT @bespokeinvest: Berkshire made about $30 billion on its stake in Apple this year which is equal to about 60% of Berkshire's entire marke…
1004,jennablan,2019-13-12 16:22:02,Back in the Big Apple 🍎 Got stopped several times in the airports about these ...... #HotXmasItem #ThankYouLondon https://t.co/0fOUiy1ZgI
1024,jennablan,12/12/2019,"RT @NorbertElekes: World's largest company by market cap

2019: Saudi Aramco
2018: Apple
2017: Apple
2016: Apple
2015: Apple
2014: Apple
20…"
1043,jennablan,11/12/2019,RT @charliebilello: Saudi Aramco displaces Apple as the largest public company in the world... https://t.co/rYbaxqmpHm
1051,jennablan,11/12/2019,RT @Hadas_Gold: Facebook confirms that a bug caused ads to disappear from its political ad library (meant to allow you to see who bought wh…
1095,jennablan,10/12/2019,"RT @mbrookerhk: Google searches for the word 'recession' have dwindled dramatically. Those who remember 2008 should not be reassured, @john…"
1098,jennablan,9/12/2019,RT @FinancialTimes: Amazon is suing the Trump administration claiming the US government denied the company a $10bn defence contract due to…
1139,jennablan,7/12/2019,Amazon CEO says wants to work more with Pentagon https://t.co/EoSFPHhESA
1145,jennablan,7/12/2019,"RT @NYTMetro: Amazon said that it would lease office space in Midtown Manhattan for more than 1,500 employees, increasing its presence in N…"
1212,jennablan,4/12/2019,"RT @FinancialTimes: Larry Page and Sergey Brin's exit from Google came without warning, and at a time when the company is under considerabl…"
1263,jennablan,2019-30-11 18:32:12,"RT @THR: 'At this time of crisis for the Amazon, I support the people of Brazil working to save their natural and cultural heritage,' Leona…"
1264,jennablan,2019-30-11 15:53:00,Apple 'taking a deeper look' at map policies after calling Crimea part of Russia via ⁦@StephenNellis⁩  https://t.co/ps10bCgDoP
1287,jennablan,2019-29-11 17:49:26,"RT @JonErlichman: Things that didn’t exist on Thanksgiving 10 years ago:

iPad
Instagram
Snapchat
Pinterest
Messenger
Apple Maps
Uber Eats…"
